resampling_technique;hyperparameters;accuracy;precision;recall;f1-score
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.53%;92.34%;99.31%;95.70%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.81%;93.32%;98.68%;95.93%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.19%;92.40%;98.48%;95.34%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.02%;91.14%;99.72%;95.24%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.57%;93.93%;99.58%;96.67%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.74%;92.59%;99.45%;95.89%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.71%;93.59%;98.13%;95.81%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.57%;92.07%;99.72%;95.74%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};96.61%;93.76%;99.86%;96.71%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};96.12%;93.87%;98.68%;96.22%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.92%;93.85%;98.27%;96.01%
