resampling_technique;hyperparameters;accuracy;precision;recall;f1-score
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.25%;91.07%;98.13%;94.47%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.92%;92.94%;99.38%;96.05%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.63%;91.13%;98.89%;94.85%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.60%;91.55%;98.27%;94.79%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.74%;91.52%;98.61%;94.93%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};93.84%;90.58%;97.85%;94.07%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};94.08%;91.30%;97.44%;94.27%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.12%;90.27%;98.89%;94.38%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.81%;91.26%;99.10%;95.02%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};92.94%;88.13%;99.24%;93.36%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.43%;91.15%;98.41%;94.64%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};93.60%;89.32%;99.03%;93.92%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.29%;90.91%;98.41%;94.51%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};92.97%;88.42%;98.89%;93.36%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};94.43%;90.52%;99.24%;94.68%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};92.97%;88.47%;98.82%;93.36%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.08%;92.05%;98.68%;95.25%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.15%;90.32%;98.89%;94.41%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.04%;89.92%;96.95%;93.30%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};92.63%;87.74%;99.10%;93.07%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.05%;90.05%;99.03%;94.33%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};93.70%;89.94%;98.41%;93.98%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};93.42%;89.34%;98.61%;93.75%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};93.01%;89.30%;97.71%;93.32%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};94.08%;89.91%;99.31%;94.37%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};91.97%;87.13%;98.48%;92.46%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.12%;89.91%;99.38%;94.41%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.42%;88.75%;99.45%;93.79%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};93.15%;89.33%;97.99%;93.46%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};93.91%;90.69%;97.85%;94.14%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.02%;91.77%;98.89%;95.20%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.29%;89.89%;99.79%;94.58%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};92.56%;91.10%;94.32%;92.68%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};93.11%;91.53%;95.01%;93.24%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.15%;90.07%;99.24%;94.43%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.98%;93.06%;99.38%;96.12%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.67%;91.29%;98.75%;94.88%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.26%;91.39%;99.93%;95.47%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};93.60%;90.12%;97.92%;93.86%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};93.25%;88.91%;98.82%;93.60%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.60%;93.75%;97.71%;95.69%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};94.74%;91.04%;99.24%;94.96%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.29%;91.82%;99.45%;95.48%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.98%;91.13%;99.65%;95.20%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};92.04%;90.63%;93.77%;92.17%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.35%;89.32%;98.48%;93.68%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.53%;91.86%;97.71%;94.70%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.12%;91.47%;99.52%;95.32%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.57%;90.60%;99.45%;94.82%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.81%;91.42%;98.89%;95.01%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};94.77%;91.95%;98.13%;94.94%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};93.67%;89.88%;98.41%;93.95%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};92.63%;89.38%;96.75%;92.92%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};91.52%;87.45%;96.95%;91.95%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.50%;92.24%;97.16%;94.64%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.39%;90.78%;98.82%;94.63%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};93.46%;89.24%;98.82%;93.79%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};92.38%;88.49%;97.44%;92.75%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};92.25%;88.46%;97.16%;92.61%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};94.01%;90.87%;97.85%;94.23%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};92.32%;88.52%;97.23%;92.67%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};92.97%;89.20%;97.78%;93.29%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.77%;91.58%;98.61%;94.96%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.39%;90.08%;97.51%;93.65%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};93.15%;89.73%;97.44%;93.43%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.40%;91.94%;99.52%;95.58%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.81%;92.43%;99.79%;95.97%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.12%;89.91%;99.38%;94.41%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};93.46%;89.99%;97.78%;93.73%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};92.38%;88.83%;96.95%;92.72%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};92.11%;89.43%;95.50%;92.36%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.01%;90.40%;98.48%;94.27%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.39%;91.68%;97.65%;94.57%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};93.87%;89.62%;99.24%;94.18%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};93.08%;89.42%;97.71%;93.38%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};92.38%;88.39%;97.58%;92.76%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};92.97%;88.90%;98.20%;93.32%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};94.81%;91.53%;98.75%;95.00%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.22%;91.91%;99.17%;95.40%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.15%;92.17%;98.68%;95.32%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};93.87%;90.27%;98.34%;94.13%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.85%;94.48%;99.52%;96.93%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};96.75%;94.12%;99.72%;96.84%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.92%;93.16%;99.10%;96.04%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.60%;92.51%;99.24%;95.76%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.81%;93.04%;99.03%;95.94%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.36%;91.83%;99.58%;95.55%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};93.22%;90.15%;97.02%;93.46%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.36%;92.59%;98.61%;95.51%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.43%;92.32%;99.10%;95.59%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.73%;90.35%;97.92%;93.98%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.43%;91.52%;97.92%;94.61%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};93.46%;89.59%;98.34%;93.76%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.60%;91.39%;98.48%;94.80%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.81%;93.90%;97.99%;95.90%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.22%;91.81%;99.31%;95.41%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.64%;92.74%;99.03%;95.78%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.01%;89.94%;99.10%;94.30%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.77%;91.20%;99.10%;94.99%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.84%;91.22%;99.24%;95.06%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.29%;89.94%;99.72%;94.58%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.26%;91.60%;99.65%;95.46%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};92.87%;89.23%;97.51%;93.18%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.60%;93.18%;98.41%;95.72%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};93.18%;89.94%;97.23%;93.44%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};94.12%;90.89%;98.06%;94.34%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.67%;92.36%;99.58%;95.83%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.74%;91.79%;98.27%;94.92%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.92%;93.50%;98.68%;96.02%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.67%;90.98%;99.17%;94.90%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.08%;91.57%;99.31%;95.28%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.64%;92.46%;99.38%;95.79%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.57%;90.70%;99.31%;94.81%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.02%;91.51%;99.24%;95.22%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};92.14%;87.82%;97.85%;92.56%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.08%;90.36%;98.68%;94.34%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};93.70%;89.34%;99.24%;94.03%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.35%;89.27%;98.55%;93.68%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.74%;91.20%;99.03%;94.95%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.29%;92.72%;96.12%;94.39%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.08%;91.36%;99.58%;95.29%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};93.70%;90.04%;98.27%;93.97%
